ARK	200	214	214$c	700	300$a
ark:/12148/cb469771546	 $a Vingt mille lieues sous l'esprit $b Texte imprimé $f Anthony Talbot	 $a Pouillon $c l'Artbitraire $d DL 2022¤ $a 64-Orthez $c Impr. ICN	l'Artbitraire¤Impr. ICN	 $3 18021437 $o ISNI0000000507257324 $a Talbot $b Anthony $f 1980-.... $4 440	
ark:/12148/cb46959644b	 $a Obstaculaire $b Texte imprimé $f Cédric Demangeot $g dessins d'Ena Lindenbaur	 $a [Strasbourg] $c l'Atelier contemporain-François-Marie Deyrolle éditeur $d 2022¤ $a impr. en Lettonie	l'Atelier contemporain-François-Marie Deyrolle éditeur	 $3 13187597 $o ISNI0000000122804366 $a Demangeot $b Cédric $f 1974-2021 $4 070	
ark:/12148/cb46974384z	 $a Keats's poetry and prose $b Texte imprimé $f Caroline Bertonèche, Laurent Folliot	 $a Neuilly $c Atlande $d DL 2022¤ $a 58-Clamecy $c Impr. Laballery	Atlande¤Impr. Laballery	 $3 16206013 $o ISNI0000000080727808 $a Bertonèche $b Caroline $f 1977-.... $4 070	 $a Bibliogr. p. 219-238
ark:/12148/cb469678240	 $a Shin hanga $b Texte imprimé $e les estampes japonaises du XXe siècle $f Brigitte Koyama-Richard	 $a [Paris] $c Nouvelles éditions Scala $d DL 2021¤ $a impr. en Belgique	Nouvelles éditions Scala	 $3 12176785 $o ISNI0000000120225109 $a Koyama-Richard $b Brigitte $4 070	 $a Texte français seul¤ $a Bibliogr. p. 325-327. Notes bibliogr. Glossaire. Index
ark:/12148/cb46997774w	 $a Les 500 plus beaux trésors de la nature en France $b Texte imprimé $f Georges Feterman	 $a Chamalières $c Christine Bonneton $d DL 2022¤ $a impr. en Slovaquie	Christine Bonneton	 $3 12924385 $o ISNI0000000046513996 $a Feterman $b Georges $f 1952-.... $4 070	 $a Index
ark:/12148/cb46963684b	 $a Gérer le personnel hospitalier $b Texte imprimé $e personnel médical et non médical $f [rédigé par Julie Vergnet-Delalonde, Philippe Jean, Florence Manaut-Esquieule et al.]	 $a Saint-Denis $c Éditions Weka $d DL 2021¤ $a 93-La Courneuve $c Isiprint	Éditions Weka¤Isiprint		 $a La couv. porte en plus : "les essentiels"¤ $a Notes bibliogr. et webliogr. Index
ark:/12148/cb46963294j	 $a My fair honey boy $h 10 $b Texte imprimé $f Junko Ike	 $a Rancon $c Éditions Akata $d DL 2021¤ $a impr. en Italie	Éditions Akata	 $3 17844176 $a Ike $b Junko $4 070	
ark:/12148/cb46956404t	 $a Le trésor de Savannah $b Texte imprimé $e roman $f Arnaud Brochard	 $a Paris $c Éditions du Triomphe $d DL 2021¤ $a 37-Monts $c Impr. Présence graphique	Éditions du Triomphe¤Impr. Présence graphique	 $3 17946647 $o ISNI0000000502647454 $a Brochard $b Arnaud $4 070	 $a Bibliogr., 1 p.
ark:/12148/cb46952164w	 $a Correspondance, 1980-1999 $b Texte imprimé $f Jean Fourquet, Hans Joachim Schädlich $g traduite [de l'allemand] par Andrée-Jeanne Baudrier	 $a Amiens $c Presses du Centre d'études médiévales de Picardie $d 2017¤ $a 80-Abbeville $c Impr. Paillart	Presses du Centre d'études médiévales de Picardie¤Impr. Paillart	 $3 11903309 $o ISNI0000000120957879 $a Fourquet $b Jean $f 1899-2001 $4 070	 $a Bibliogr. p. 7. Index
ark:/12148/cb46952194t	 $a Zébulon le dragon $b Texte imprimé $f Julia Donaldson $g [illustré par] Axel Scheffler	 $a [Paris] $c Gallimard jeunesse $d DL 2021¤ $a impr. en République tchèque	Gallimard jeunesse	 $3 13344359 $o ISNI0000000121275108 $a Donaldson $b Julia $f 1948-.... $4 070	
ark:/12148/cb469908943	 $a Gluglu et le singe farceur $b Texte imprimé $f [adaptation], Gustav Paulin... $g d'après l'oeuvre originale de Romuald	 $a [Paris] $c Gallimard jeunesse-Giboulées $d DL 2021¤ $a 25-Autechaux $c Estimprim	Gallimard jeunesse-Giboulées¤Estimprim	 $3 17825528 $a Paulin $b Gustav $4 070	
ark:/12148/cb46957914r	 $a Vaillante $b Texte imprimé $e album du film	 $a Vanves $c Hachette jeunesse $d DL 2022¤ $a 85-Luçon $c Impr. Pollina	Hachette jeunesse¤Impr. Pollina		
ark:/12148/cb469495843	 $a Réunion $b Texte imprimé $f scénario, Mike Johnson $g dessin, Andres Guinaldo $g couleurs, Marco Lesco...	 $a [Paris] $c Delcourt $d DL 2022¤ $a 85-Luçon $c Impr. Pollina	Delcourt¤Impr. Pollina	 $3 16154389 $o ISNI0000000374040294 $a Johnson $b Mike $f 19..-.... $c scénariste de bandes dessinées $4 070	
ark:/12148/cb47003264z	 $a Guide secret du Finistère $b Texte imprimé $f par Marie Le Goaziou	 $a Rennes $c Éditions "Ouest-France" $d 2022¤ $a 91-Palaiseau $c Impr. PPO	Éditions "Ouest-France"¤Impr. PPO	 $3 13201126 $o ISNI0000000078362619 $a Le Goaziou $b Marie $f 1959-.... $4 070	
ark:/12148/cb47027854p	 $a Rentrée sur l'île Vanille $b Texte imprimé $f une histoire d'Agnès Bertron-Martin $g illustrée par Sophie Mondésir	 $a Paris $c Père Castor $d DL 2018¤ $a impr. en République tchèque	Père Castor	 $3 12556465 $o ISNI0000000080163336 $a Bertron-Martin $b Agnès $f 1960-.... $4 070	
ark:/12148/cb47054834z	 $a La magie domestique avec Hestia $b Texte imprimé $f Raechel Henderson $g traduction de Clélia E. Rubière	 $a Balma $c Éditions Danaé $d 2022¤ $a impr. en Turquie	Éditions Danaé	 $3 18034033 $a Henderson $b Raechel $4 070	 $a Bibliogr. p. 260-262
ark:/12148/cb470024241	 $a Merveilles du monde en France $b Texte imprimé $e voyager loin sans quitter l'hexagone $f Philippe Ménager	 $a Chamalières $c Christine Bonneton $d DL 2022¤ $a impr. en Slovaquie	Christine Bonneton	 $3 16184714 $o ISNI000000010719351X $a Ménager $b Philippe $f 1982-.... $4 070	 $a Bibliogr. p. 255. Index
ark:/12148/cb47077904f	 $a A French course for English speakers $b Texte imprimé $e student's book $e A1	 $a [Paris] $c Éditions Maison des langues¤ $d C 2022¤ $a impr. en UE	Éditions Maison des langues		 $a Notice réd. d'après la couv.
ark:/12148/cb470087547	 $a Avocat à Poitiers $b Texte imprimé $f Jean-Paul Bouchon	 $a La Crèche $c la Geste $d DL 2022¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin-Didot	la Geste¤Impr. CPI Firmin-Didot	 $3 13024690 $o ISNI0000000073610986 $a Bouchon $b Jean-Paul $f 1953-.... $4 070	 $a Fait suite à : "Une adolescence au temps du général", ISBN 978-2-36746-392-6¤ $a Bibliogr., 5 p.
ark:/12148/cb47006044h	 $a Rap, hip-hop $b Texte imprimé $e 40 années en 200 albums $f Sylvain Bertot	 $a [Marseille] $c le Mot et le reste $d 2021¤ $a 01-Péronnas $c Impr. SEPEC numérique	le Mot et le reste¤Impr. SEPEC numérique	 $3 16624198 $o ISNI0000000382887364 $a Bertot $b Sylvain $f 1973-.... $4 070	 $a Bibliogr. p. 507-510. Filmogr. p. 511. Webliogr. p. 511-512. Lexique
ark:/12148/cb47000154n	 $a Métamorphose des "Métamorphoses" $b Texte imprimé $e la réécriture de la version Z de l'"Ovide moralisé" $f Prunelle Deleville	 $a Paris $c Classiques Garnier $d 2022¤ $a 14-Condé-en-Normandie $c Impr. Corlet	Classiques Garnier¤Impr. Corlet	 $3 18015723 $a Deleville $b Prunelle $4 070	 $a Bibliogr. p. 199-213. Index
ark:/12148/cb470003546	 $a Identité spirituelle $b Texte imprimé $e découvrir qui je suis, ce que j'ai reçu et ce que je peux faire en Jésus-Christ ! $f Dorothée Rajiah	 $a La Courneuve $c Éditions Parole de foi¤ $d C 2022¤ $a 37-Monts $c Impr. Présence graphique	Éditions Parole de foi¤Impr. Présence graphique	 $3 13177029 $o ISNI0000000001820618 $a Rajiah $b Dorothée $4 070	
ark:/12148/cb47074684c	 $a Le grand livre des mythologies $b Texte imprimé $e histoires de dieux et de héros du monde entier $f [Marzia Accatino] $g illustrations, Laura Brenlla	 $a Paris $c Kimane $d DL 2020¤ $a impr. en Serbie	Kimane	 $3 18028726 $o ISNI0000000507806565 $a Accatino $b Marzia $4 070	
ark:/12148/cb47074664r	 $a En route vers la guérison $b Texte imprimé $e guérir et apprendre à prier pour les autres $f frère Daniel-Marie $g préface de Mgr Aupetit	 $a [Nouan-le-Fuzelier] $c EdB $d DL 2022¤ $a 52-Langres $c la Manufacture impr.	EdB¤la Manufacture impr.	 $3 17957989 $o ISNI0000000502845960 $a Daniel-Marie $f 1957?-.... $4 070	 $a Bibliogr. p. 163
ark:/12148/cb47043294q	 $a Savoie $b Texte imprimé $e société, culture, économie $f Laurent Blondaz	 $a [Fouesnant] $c Yoran $d DL 2022¤ $a 22-Plérin $c Impr. Typo'libris	Yoran¤Impr. Typo'libris	 $3 18021027 $o ISNI0000000507255468 $a Blondaz $b Laurent $4 070	
ark:/12148/cb47010034z	 $a Mon petit livre des cristaux $b Texte imprimé $e la magie des pierres de soins $f Emily Anderson	 $a Paris $c le Courrier du livre $d DL 2022¤ $a impr. en Chine	le Courrier du livre	 $3 15620264 $o ISNI0000000392525666 $a Anderson $b Emily $f 19..-.... $4 070	 $a Bibliogr. p.160. Index
ark:/12148/cb47024184z	 $a Moïse ou La preuve par l'alphabet de l'existence de Yahvé $b Texte imprimé $e petit essai d'épigraphie polémique $f Jérôme Peignot	 $a Grenoble $c Jérôme Millon $d DL 2022¤ $a 37-Monts $c Impr. Présence graphique	Jérôme Millon¤Impr. Présence graphique	 $3 11918936 $o ISNI0000000109343657 $a Peignot $b Jérôme $f 1926-.... $4 070	 $a Notice réd. d'après la couv.¤ $a Bibliogr. p. 155-157
ark:/12148/cb47024444j	 $a Jouer le jeu ? $b Texte imprimé $f Jean-Louis Comolli	 $a Lagrasse $c Verdier $d DL 2022¤ $a 61-Lonrai $c Normandie roto impr.	Verdier¤Normandie roto impr.	 $3 11897464 $o ISNI0000000121416898 $a Comolli $b Jean-Louis $f 1941-2022 $4 070	
ark:/12148/cb47017154j	 $a Paris #insta $b Texte imprimé $e meilleurs spots photo, bons angles, trucs et astuces $f Amandine Goetz,...	 $a Paris $c Parigramme $d DL 2022¤ $a impr. en République tchèque	Parigramme	 $3 18026813 $o ISNI0000000507760552 $a Goetz $b Amandine $4 070	 $a Texte français et trad. anglaise¤ $a Lexique
ark:/12148/cb47005354d	 $a Le chinois logique $b Texte imprimé $e méthode pour débutant $f Cécile Pei	 $a Paris $c Ellipses¤ $d C 2022¤ $a 01-Péronnas $c Impr. SEPEC	Ellipses¤Impr. SEPEC	 $3 17940474 $a Pei $b Cécile $4 070	
ark:/12148/cb47049924x	 $a Changez de paradigme, changez de vie $b Texte imprimé $e finances, carrière, santé, relations, le programme mental au service de vos ambitions $f Bob Proctor $g préface de Sandy Gallagher	 $a [Paris] $c Diateino $d DL 2022¤ $a 58-Clamecy $c Impr. Laballery	Diateino¤Impr. Laballery	 $3 16204606 $a Proctor $b Bob $4 070	
ark:/12148/cb47002194c	 $a Ailleurs en France $b Texte imprimé $e un tour du monde au coeur de nos régions $f sur une idée originale de Stéphane Francés et Sylvie Ligon	 $a Paris $c Flammarion $d DL 2021¤ $a impr. en Slovénie	Flammarion		 $a Index
ark:/12148/cb470111245	 $a Qui veut un bisou ? $b Texte imprimé $f Éric Simard $g [illustrations], Ingrid Gordon	 $a Montrouge $c Bayard jeunesse $d DL 2022¤ $a impr. en Europe	Bayard jeunesse	 $3 13323054 $o ISNI0000000035721810 $a Simard $b Éric $f 1962-.... $4 070	
ark:/12148/cb47021034d	 $a Arrêtez d'oublier ce que vous lisez ! $b Texte imprimé $e un système simple pour prendre des notes, stocker vos connaissances et faire émerger des idées $f Eliott Meunier	 $a Paris $c Éditions Eyrolles $d DL 2022¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin-Didot	Éditions Eyrolles¤Impr. CPI Firmin-Didot	 $3 18026462 $o ISNI0000000507758807 $a Meunier $b Eliott $4 070	 $a Bibliogr. et webliogr. p. 213-216
ark:/12148/cb47044824f	 $a Recueil des actes d'état civil de la commune de Fonroque de 1676 à 1922 $b Texte imprimé $e Font Ròca $e naissances, mariages, décès $f Cercle d'histoire et de généalogie du Périgord	 $a Périgueux $c Cercle d'histoire et de généalogie du Périgord $d 2022	Cercle d'histoire et de généalogie du Périgord		
ark:/12148/cb470197640	 $a Paris rive droite $b Texte imprimé $e de l'aube à minuit $f aquarelles, Juan Carlos Figuera $g textes, France de Griessen...	 $a Bruxelles $c AAM éditions $d DL 2022¤ $a impr. en Belgique	AAM éditions	 $3 17798731 $o ISNI0000000507141110 $a Figuera $b Juan Carlos $4 440	 $a AAM = Archives d'architecture moderne¤ $a Diffusé en France
ark:/12148/cb47079684k	 $a Sur "Le christianisme contre le Christ" $b Texte imprimé $e un projet de livre d'André Gide $f Martina Della Casa	 $a Paris $c Classiques Garnier $d 2022¤ $a 14-Condé-en-Normandie $c Impr. Corlet	Classiques Garnier¤Impr. Corlet	 $3 17722634 $o ISNI0000000464706248 $a Della Casa $b Martina $4 070	 $a Bibliogr. p. 173-179. Index
ark:/12148/cb470792745	 $a Poutine, l'Ukraine, les faces cachées $b Texte imprimé $f Vladimir Fédorovski	 $a Paris $c FL éditions $d DL 2022¤ $a 14-Condé-en-Normandie $c Corlet impr.	FL éditions¤Corlet impr.	 $3 12264086 $o ISNI0000000122825423 $a Fédorovski $b Vladimir $f 1950-.... $4 070	 $a Bibliogr. p. 215-217
ark:/12148/cb47070134g	 $a Kilamba $b Texte imprimé $f [photographs by] Laura Bonnefous $g [texts and interview by Sylvie Lécallier]	 $a Paris $c Louis Vuitton malletier¤ $d C 2022¤ $a impr. en Italie	Louis Vuitton malletier	 $3 18033274 $a Bonnefous $b Laura $4 440	 $a Texte français et trad. anglaise
ark:/12148/cb47070994j	 $a L'italien $b Texte imprimé $f illustrations, Jala, Geoatlas, Fotolia	 $a [Vichy] $c Éditions Aedis $d DL 2021	Éditions Aedis	 $3 13323937 $o ISNI0000000006925136 $a Jala $f 1969-.... $4 440	 $a La couv. porte en plus : "le petit Nicolas"
ark:/12148/cb470830046	 $a Walter Pater $b Texte imprimé $e du portrait littéraire à l'étude de cas $f Bénédicte Coste	 $a Paris $c Classiques Garnier $d 2022¤ $a 14-Condé-en-Normandie $c Impr. Corlet	Classiques Garnier¤Impr. Corlet	 $3 14525920 $o ISNI0000000109468716 $a Coste $b Bénédicte $f 1965-.... $4 070	 $a Bibliogr. p. 291-304. Index
ark:/12148/cb47087224b	 $a Dictionnaire des femmes et hommes celtiques illustres $b Texte imprimé $e de l'Antiquité et du haut Moyen âge $f Bernard Sergent, Fabien Régnier	 $a Fouesnant $c Éditions Yoran $d DL 2022¤ $a 27-Mesnil-sur-l'Estrée $c Impr. CPI Firmin-Didot	Éditions Yoran¤Impr. CPI Firmin-Didot	 $3 12012467 $o ISNI0000000108907836 $a Sergent $b Bernard $f 1946-.... $4 070	 $a Bibliogr. p. 360-382
ark:/12148/cb47053764c	 $a Cherche Tom dans les couloirs du temps $b Texte imprimé $e Grèce antique $f Fatti Burke	 $a Paris $c Kimane $a [Londres] $c the British museum $d DL 2020¤ $a impr. en Chine	Kimane¤the British museum	 $3 17089223 $a Burke $b Fatti $4 070	 $a Notice réd. d'après la couv.¤ $a Solutions en fin de vol.¤ $a Glossaire. Index
ark:/12148/cb470238343	 $a Mon p'tit dico de Pâques $b Texte imprimé $e 100 mots clefs pour comprendre la carême et le temps de Pâques $f Daniel Steiner, Curd Ridel	 $a Strasbourg $c Signe¤ $d C 2022¤ $a impr. en Pologne	Signe	 $3 15630371 $o ISNI0000000072843358 $a Steiner $b Daniel $f 1949-.... $4 070	
ark:/12148/cb47004124p	 $a Pelote et repelote $b Texte imprimé $f Sabine De Greef	 $a [Bruxelles] $c Pastel $a Paris $c l'École des loisirs $d DL 2022¤ $a impr. en Belgique	Pastel¤l'École des loisirs	 $3 13194450 $o ISNI0000000366848162 $a De Greef $b Sabine $f 1956-.... $4 070	
ark:/12148/cb47033394s	 $a Mon abécédaire spirite $b Texte imprimé $f Lila Rhiyourhi	 $a Paris $c Leduc éso $d DL 2022¤ $a 58-Clamecy $c Impr. Laballery	Leduc éso¤Impr. Laballery	 $3 16217028 $o ISNI0000000101906582 $a Rhiyourhi $b Lila $4 070	 $a Bibliogr. p. 223
ark:/12148/cb470333447	 $a Luttes sociales au temps des corporations $b Texte imprimé $f Jean Jacques	 $a Paris $c Spartacus $d DL 2022¤ $a 12-Millau $c Impr. Maury	Spartacus¤Impr. Maury	 $3 10095210 $a Jean-Jacques $f 1899-1951 $4 070	 $a Bibliogr. p. 195-196
ark:/12148/cb47040554k	 $a Les catholiques anglais et la "question juive", 1917-1967 $b Texte imprimé $e d'une approche politique à une approche spirituelle $f Olivier Rota	 $a Paris $c les Éditions du Cerf $d DL 2021¤ $a 58-Clamecy $c Impr. Laballery	les Éditions du Cerf¤Impr. Laballery	 $3 16033880 $o ISNI0000000108027652 $a Rota $b Olivier $f 1976-.... $4 070	 $a Bibliogr. p. 617-644. Index
ark:/12148/cb47040854d	 $a Le voyage $b Texte imprimé $e semelles de vent, semelles de plomb $e neuf entretiens d'experts $f menés par Bernard Pellegrin $g et photographiés par Alain Mandel	 $a Paris $c Cent mille milliards $d DL 2021¤ $a 18-Saint-Amand-Montrond $c Impr. CPI Bussière	Cent mille milliards¤Impr. CPI Bussière		
ark:/12148/cb470942046	 $a Le grand manuel du TAGE MAGE $b Texte imprimé $e 18 tests, 200 fiches, 2200 vidéos $f Joachim Pinto & Arnaud Sévigné	 $a Paris $c Ellipses¤ $d C 2022¤ $a impr. en Italie	Ellipses	 $3 17090448 $o ISNI0000000459795258 $a Pinto $b Joachim $4 070	
ark:/12148/cb47094004n	 $a Buffières en mouvement $b Texte imprimé $e une enquête sur l'époque moderne $f Axel de Saint Just	 $a [Mâcon] $c Académie de Mâcon $d DL 2022¤ $a 71-Crêches-sur-Saône $c Impr. Helichrom	Académie de Mâcon¤Impr. Helichrom	 $3 14435366 $o ISNI0000000003090057 $a Saint-Just $b Axel de $f 1954-.... $4 070	 $a En appendice, choix de documents¤ $a Bibliogr. p. 104-105
ark:/12148/cb47094374n	 $a Alfred Sisley $b Texte imprimé $f Guillaume Morel	 $a Paris $c Éditions Place des Victoires $a [Köln] $c Könemann $d DL 2022¤ $a impr. en Espagne	Éditions Place des Victoires¤Könemann	 $3 15571873 $o ISNI0000000010763520 $a Morel $b Guillaume $f 1975-.... $c journaliste $4 070	 $a Texte français et trad. anglaise, allemande, espagnole, portugaise et néerlandaise
ark:/12148/cb47046454r	 $a Les rues de Lesneven $b Texte imprimé $e leur nom, leur histoire $f Claude Le Menn $g préface d'Hervé Lossec	 $a Questembert $c Stéphane Batigne éditeur $d DL 2022¤ $a 56-Josselin $c Impr. Poisneuf	Stéphane Batigne éditeur¤Impr. Poisneuf	 $3 14641281 $o ISNI0000000360404456 $a Le Menn $b Claude $f 1961-.... $4 070	 $a Bibliogr., 3 p.
ark:/12148/cb46963385v	 $a Des oiseaux $b Texte imprimé $f [photographs by] Paolo Pellegrin $g text by Guilhem Lesaffre	 $a Paris $c Atelier EXB-Éditions Xavier Barral $d DL 2021¤ $a impr. en Allemagne	Atelier EXB-Éditions Xavier Barral	 $3 15684646 $o ISNI0000000121182630 $a Pellegrin $b Paolo $f 1964-.... $4 440	 $a Trad. du français¤ $a Photographies de milans noirs prises à Kyoto (Japon) en 2019
ark:/12148/cb46963785z	 $a Campagne $b Texte imprimé $e roman $f Matthieu Falcone	 $a Montpellier $c Éditions Ookilus $d DL 2022¤ $a 37-Monts $c Impr. Présence graphique	Éditions Ookilus¤Impr. Présence graphique	 $3 17777685 $o ISNI0000000472414296 $a Falcone $b Matthieu $f 1982-.... $4 070	
ark:/12148/cb46963805r	 $a J'ai la parlotte ! $b Texte imprimé $f Sara Gavioli	 $a Paris $c Seuil jeunesse $d DL 2022¤ $a impr. en Italie	Seuil jeunesse	 $3 17896750 $o ISNI000000049875343X $a Gavioli $b Sara $f 1983-.... $4 070	
ark:/12148/cb46956215x	 $a Y a quelqu'un ? $b Texte imprimé $f Michaël Escoffier, Ella Charbon	 $a Paris $c Loulou & Cie-l'École des loisirs $d DL 2022¤ $a impr. en Pologne	Loulou & Cie-l'École des loisirs	 $3 15582407 $o ISNI0000000121276856 $a Escoffier $b Michaël $f 1970-.... $4 070	 $a Livre cartonné
ark:/12148/cb469567755	 $a Après le bal $b Texte imprimé $f une histoire de Claire Bertholet $g illustrée par Marygribouille	 $a Toulouse $c Milan $d DL 2022¤ $a impr. en Espagne	Milan	 $3 16624522 $o ISNI0000000439344572 $a Bertholet $b Claire $4 070	
ark:/12148/cb46953415r	 $a Études sur la littérature occitane du Moyen âge $h Tome II $b Texte imprimé $f Gérard Gouiran $g édition proposée et présentés par Marjolaine Raguin	 $a Limoges $c Lambert-Lucas $d DL 2021	Lambert-Lucas	 $3 12075915 $o ISNI0000000110237026 $a Gouiran $b Gérard $f 1945-.... $4 070	
ark:/12148/cb46990935v	 $a Mes chants de Noël $b Texte imprimé $e livre sonore avec un cherche & trouve	 $a Paris $c Gallimard jeunesse $d DL 2021¤ $a impr. en Chine	Gallimard jeunesse		 $a Livre cartonné sonore
ark:/12148/cb469499459	 $a Art et littérature du XXe siècle, avant-gardes $b Texte imprimé $e ensembles consacrés à Antonin Artaud, René Char, Henri Michaux, Pierre Restany et les nouveaux réalistes, dessins par Salvador Dali, autographes et manuscrits, éditions originales, revues, dessins et tableaux, photographies $e vente, Paris, 5 mars 2021 $f Binoche et Giquello	 $a Paris $c Binoche et Giquello $d [2021]	Binoche et Giquello		
